name,genres,popularity,id
Above & Beyond Group Therapy,[],0,7HXnQUEKHiWvUqSIR9ydOC
Abhijeet,"['bollywood', 'hindi pop']",71,2ZRrPOjBIWoKK5rHedLijj
The Weeknd,[],97,1Xyo4u8uXC1ZmMpatF05PJ
Abby Cadabby,"[""children's music""]",54,6aFmZaY3ydeUcYFXIJqzAT
Abi Carter,[],32,6ryJRp2gIl77hK36D8tz2m
ABRA,['alternative r&b'],55,3ZJxEmjYZd5VOqZ8o3aXiL
Abel Balder,['house'],60,0jqbEIAvdjUOi5Za48pzQG
ABC,"['new wave', 'synthpop']",52,2s79xe5F6eUQkjwjww27Fh
Abel Zavala,"['christian', 'worship']",60,0UH4eoqwQgADwRoaKtEKc1
Abbie Falls,"['deathcore', 'metalcore']",42,5nSlRGZqJVAORU3SsSD0YU
Abel Pintos,"['folklore argentino', 'cuarteto']",68,6HTUcOExehqydqa7C3usAa
Lady Gaga,"['art pop', 'pop']",92,1HY2Jd0NmPuamShAr6KMms
Abby Holliday,[],38,4q7Td1MO6rNg3UCvqrzz1k
Abraham Mateo,[],65,2bxxlINUlcMQQb39K7IopR
Abandon All Ships,"['post-hardcore', 'screamo', 'metalcore']",36,3GsRbtyKPsORUduU4xAaQS
Claudio Abbado,"['classical', 'opera', 'requiem', 'orchestra']",65,6HclTVD03WSY6GUpN16BkP
Doechii,[],86,4E2rKHVDssGJm2SCDOMMJB
Abel Korzeniowski,[],56,5RGAUCWFZyymaMSAZJeice
Abel Selaocoe,[],40,44LUiqh2zLIWA4UPdPmvWU
Abhi The Nomad,[],48,1gUi2utSbJLNPddYENJAp4
Avant,"['r&b', 'quiet storm', 'smooth r&b']",56,0AunegKKH2ys98aLxq8G1A
A.B. Quintanilla III Y Los Kumbia Kings,"['tejano', 'cumbia', 'grupera']",62,6BMQo3hxi4qwLiZpHKK5iL
RJ Pasin,['phonk'],72,3BTY807ipaaT6QHW1tHTt0
A.B. Quintanilla III,"['tejano', 'cumbia']",56,5MP9bH9aUryiKQeUvABLIU
AB,[],24,6xzx0OH7BkbmJaBbCCzuMq
Ablation,[],49,5iaYfJCxvfufnRwTVSMahD
AB,"['uk drill', 'drill']",41,5hT2NRyjaZOavjeY3Lb1qL
The Abide Project,[],47,1KLDxPCaanSSJlSFN5PcDt
AB,[],30,2ym8zoBmNH1nYRnyHUVbL8
Abi Flynn,[],54,734bmNflMslwf81kYoy7bs
Ab,[],17,1T7qgYsbW9083rk83HNuid
Ari Abdul,[],67,25jJ6vyXwTRa0e6XCcdR6U
AB,[],14,4xliXgK3ifxzOgSkmngR7v
AB,[],5,4ig2OPrnyIVpC1EEHlGjPb
Abelin Lagarde,[],50,3js7EAaEd42YT5pAYfm5PD
AC/DC,"['rock', 'hard rock', 'classic rock', 'rock and roll']",81,711MCceyCBcFnzjGY4Q7Un
Action Bronson,['east coast hip hop'],63,7BMccF0hQFBpP6417k1OtQ
Claude Debussy,"['classical piano', 'classical']",69,1Uff91EOsvd99rtAupatMP
Acid Bath,"['sludge metal', 'doom metal']",53,3n5jeTRWZEbTPJWyHSYUqn
XXXTENTACION,['emo rap'],86,15UsOTVnJzReFVN1VCnxy4
Ace of Base,"['eurodance', 'europop']",68,5ksRONqssB7BR161NTtJAm
Ace Hood,[],55,31HjiqargV4NAw4GZqUale
Academy of St. Martin in the Fields,"['classical', 'chamber music', 'orchestra']",67,77CaCn32H4mOMQA7UElzfF
Acito,[],49,01oY6wumU3INVxo8ddX7mj
Sir Neville Marriner,"['classical', 'orchestra']",65,6NUhQz7eAEsZvjEHTKHux9
ACRAZE,['tech house'],63,4pnp4w9g30yLfVIAFnZMRd
The Acacia Strain,"['deathcore', 'metalcore', 'djent', 'death metal', 'metal', 'hardcore']",46,4tDkeVxH0CSkNiLVrsYmQs
Acres,"['melodic hardcore', 'metalcore', 'post-hardcore']",46,3y43zXffnLmhyQD1K4QCmD
Tommy Richman,[],75,1WaFQSHVGZQJTbf0BdxdNo
Antônio Carlos Jobim,"['bossa nova', 'brazilian jazz', 'mpb', 'latin jazz']",69,3pO5VjZ4wOHCMBXOvbMISG
AC640,[],43,4jALQ8p9YGOf82lVPEnLAT
Achille Lauro,['italian trap'],69,0lI3rF4hi4op6UxqlLHPzv
AC Slater,"['bass house', 'bassline', 'g-house', 'house']",49,6EqFMCnVGBRNmwPlk2f3Uc
The Academy: Segunda Misión,[],61,4C3ZmIqca9MWwThLaYbfXu
Accept,"['heavy metal', 'speed metal', 'metal', 'hard rock', 'thrash metal']",56,3JDIAtVrJdQ7GFOX26LYpv
Ace Monroe,['blues rock'],32,7Lcyr9TK4WHr4ojZiYhbYV
Acid Souljah,['cloud rap'],41,2grkafhEWV2QfpX4ooErud
Academy of Ancient Music,"['classical', 'requiem', 'choral', 'opera']",58,60adCptqwRkANTtVja0bvf
Ace Frehley,"['glam metal', 'glam rock']",44,62olK5zZHSgFUXGDykgBL8
Los Acosta,"['grupera', 'cumbia', 'cumbia sonidera']",69,1sxekzjeHJaqkZbpaaGR9x
ACTORS,"['darkwave', 'cold wave', 'post-punk', 'deathrock', 'synthpop']",35,2Gs4t6zBT69DSluLvaEBWK
告五人,"['taiwanese indie', 'chinese indie', 'mandopop', 'taiwanese pop', 'c-pop', 'chinese rock']",60,6xErgeZYatiaQ36SB5bvi8
Avicii,['edm'],83,1vCWHaC5f2uS3yhpwWbIA6
acronym.,['phonk'],58,5GFRLmuyDjzaobJ5xRFAU0
Grupo Accion Oaxaca,['corrido'],40,7M66clD5pO6Gp3pPSU12HH
Acid King,"['sludge metal', 'doom metal', 'space rock', 'acid rock']",34,0PK6ewFU4DbFB8Eqr58Sct
Aca Malvina,[],49,7H3SyQlYDmgYpQlmkm0rsO
Acceptance,"['emo pop', 'pop punk', 'emo']",36,4zCbNayYzorqdzd9mPrghW
AC,[],31,57wYqpfSos9R8uxfvfkMAG
AC,[],12,066k8mCJQrj6RzexZ4lZPW
Acid Ghost,[],48,3DxAikzv8719U68yCVRELD
AC,['cedm'],16,5avsOgAM85HMGDMlzHtNPp
Yungeen Ace,['melodic rap'],59,7hj7ffJe6UkF1gsMpuweSI
AC,"['chinese hip hop', 'chinese r&b', 'c-pop', 'mandopop', 'taiwanese pop']",26,0zXp1zis13q1a2uCJgN9nq
AC,['christian hip hop'],13,48pGZeQxOIbcfP0zDPDd7b
The Aces,[],47,2AmfMGi3WZMxqFDHissIAe
Ac,[],7,3aKinmsc6tZIOfWl3sK6dW
Ace,['soft rock'],47,6QNkSI0c63lCTNXpHDBiqP
AC,['hyphy'],12,2w1O16HoG2orxP0EE7dlAA
accelerate,[],54,7IErGg6ZCfFyJJoKGUUBpv
ac,[],2,21HSz6gnRu20YCQHbAvhSR
AC,"['italo disco', 'indie dance', 'italo dance']",11,31aJ4oe6A2zkUOvVRJ2SgC
Achint,"['gujarati garba', 'gujarati pop']",59,4bvGDTEPFnllKiJaEZGuXk
AC,['bhangra'],6,1AhM2u0acbnA4QhRp0jWz4
Acerting Art,[],46,4zGczHsSZktkXqswBFhz1D
Adele,['soft pop'],86,4dpARuHxo51G3z768sgnrY
Addison Rae,[],71,4gvjmrtzydbMpyJaXUtwvP
Adrianne Lenker,[],74,4aKWmkWAKviFlyvHYPTNQY
Ado,"['j-pop', 'anime', 'vocaloid', 'j-rock']",76,6mEQK9m2krja6X1cfsAjfl
Adam Lambert,[],59,6prmLEyn4LfHlD9NnXWlf7
Adam Levine,[],72,4bYPcJP5jwMhSivRcqie2n
Adrien Nunez,[],57,6R2UojZrKYDr0RiP9jROAJ
Adam Port,"['afro house', 'house']",74,2loEsOijJ6XiGzWYFXMIRk
ADÉLA,[],51,2qanRMyA5bNuTvz1dK45OP
Adolescent's Orquesta,"['salsa', 'salsa romantica', 'merengue']",71,70nxnxEqDQIEWneRjg2Q4O
adore,[],66,7ofG5BaSiQp8WeL4YCYDhF
Adam Calhoun,['country hip hop'],58,4fZ8AuVP6Y8mLmCoybfKpC
Adam Sandler,['comedy'],43,2LB9H0px4qWbCHg9Axzhga
Gavin Adcock,"['country', 'red dirt']",70,5jG6uRqinuI83luutMpW6y
Adventure Time,[],59,3Op7D6tFVJCOHW6EAV0ck1
The Adventures Of Stevie V,[],68,7HOmuShc6sajk74rYV7zR2
Adam Doleac,['country'],52,4NsVVzuaZGk4aya8Pyacew
Adriel Favela,"['corrido', 'banda', 'corridos tumbados', 'sierreño', 'corridos bélicos', 'norteño', 'sad sierreño']",64,0PrhwIWbqYFYyY2ZrkIWgI
Adventure Club,"['melodic bass', 'dubstep', 'edm', 'chillstep', 'future bass']",52,5CdJjUi9f0cVgo9nFuJrFa
Wolfgang Amadeus Mozart,"['classical', 'requiem', 'opera', 'classical piano', 'chamber music']",76,4NJhFmfw43RLBLjQvxDuRS
Adamn Killa,['cloud rap'],39,2AwAtRmbmsuIr40rJFIWlv
Adassa,[],57,72kqSqk124Vnl1wtT6q9Fh
Adrian L Santos,"['corridos tumbados', 'sad sierreño', 'corrido', 'corridos bélicos', 'electro corridos']",63,2KtMgfc6pR6Jpovuqrs8Ac
Taylor Swift,[],97,06HL4z0CvFAxyc27GXpf02
Adèle Castillon,['french pop'],65,4ueh4hmRvt62k4BgP8dIS0
Adema,"['nu metal', 'rap metal', 'alternative metal']",45,3n4ersmDo55xV4fPSCKpXb
Bad Bunny,"['reggaeton', 'trap latino', 'latin', 'urbano latino']",100,4q3ewBCX7sLwd24euuV69X
Adelitas Way,['post-grunge'],55,1ZjAT2nTrzDIXFfsQ2hWJk
Adriatique,"['melodic techno', 'melodic house', 'techno', 'afro house']",58,02DWGcShQivFepRvGJ7xhB
Adelmar Borrego,['lullaby'],58,5bdLiUDd0rIMAkT1y6zLaE
Adam Melchor,[],51,54tv11ndFfiqXiR03PwdlB
Bryan Adams,[],76,3Z02hBLubJxuFJfhacLSDc
A Day To Remember,"['metalcore', 'post-hardcore', 'pop punk', 'screamo', 'emo', 'emo pop']",70,4NiJW4q9ichVqL1aUsgGAN
Adie,"['opm', 'harana', 'kundiman', 'p-pop', 'pinoy indie']",68,1DlYnIiliftt6R21Y5NOW2
Aditya Rikhari,"['hindi indie', 'indian indie', 'desi pop']",68,3ozYqVCLohfpXIhalkhM8D
Jesús Adrián Romero,"['christian', 'worship']",74,29SeiO68HQHBs7pDdWOvvX
Adam Ten,"['indie dance', 'melodic house', 'melodic techno', 'tech house']",52,05tmGPn4fFdVpnsMt0YW5S
Adekunle Gold,"['afrobeats', 'afrobeat', 'afropop', 'alté', 'afropiano', 'afro soul', 'afroswing']",63,2IK173RXLiCSQ8fhDlAb3s
Chappell Roan,[],87,7GlBOeep6PqTfFi59PTUUN
Sabrina Carpenter,[],91,74KM79TiuVKeVCqs8QtB0B
Adan Chalino Sanchez,"['corrido', 'norteño', 'banda', 'música mexicana']",49,2zyNL1jSCA6HH5m0BZZTgy
Adi Oasis,"['retro soul', 'neo soul']",55,5RRfTrwXUGYiBB0DMV4hyh
Adrian Chandler,['classical'],57,7qJsLLT3iv2Uc0XbpnmEKz
Bruno Mars,[],94,0du5cEVh5yTK9QJze8zA0C
Adrien de la Salle,[],54,24qlcGFRlSIGVpvWmWkCFN
Adan JFW,"['mexican hip hop', 'electro corridos']",53,6iw0GipaAI3E8kQGYtt5RR
La Adictiva,"['banda', 'norteño', 'corrido', 'grupera', 'corridos bélicos']",72,49EE6lVLgU8sp7dFgPshgM
Adrian Lyles,[],34,3R5yFx0z6UkzAiNHCeBqUY
Adam Gontier,[],53,2NkpmkcWNxbWydBaETRfqT
Adán Zapata,['mexican hip hop'],48,1NGy8h3j8jFQvFv6cniUnl
Aerosmith,"['classic rock', 'rock']",76,7Ey4PD4MYsKc5I2dolUwbH
aespa,['k-pop'],79,6YVMFz59CuY7ngCxTxjpxE
Aesop Rock,"['underground hip hop', 'experimental hip hop', 'alternative hip hop']",55,2fSaE6BXtQy0x7R7v9IOmZ
Aer,[],43,25hbSOMmbhgqvonjC876UJ
Aeyes Libe,[],50,2PUFZI4SN9XsFMf0i7qEwv
aeter,[],47,25iNOjsrnQ3FDVa0CQ0azO
Aerial Lakes,[],50,52GC47uinFvXuWXBqx83nt
Ayesha Erotica,['hyperpop'],71,7M5pDtJpCdnftEQZtczYco
Æther Realm,"['melodic death metal', 'folk metal', 'melodic metal', 'pirate metal']",38,0zDqgJmDuaocA7TMvJX1d1
Aeoluzzz,[],47,0aWv3c8ziN4LaKzIjHwb9V
All Elite Wrestling,[],39,7ue360AGmUFYGTR6gaT2i8
LE SSERAFIM,['k-pop'],78,4SpbR6yFEvexJuaBpgAU5p
Celestial Aeon Project,"['medieval', 'celtic']",62,3erL8NEQbmmOXhO6yyVWxO
ÆON:MODE,['drum and bass'],45,41ouHqoKXNijIMFsQTmFQV
AEON,[],49,1TgJCAaMIcCTM980NCH5xk
aeter vault,[],38,7262AnGZqQJTcwoHWsSkUE
Aerin Villegas,[],45,21bfAnYguvlVvYNMJmbRAk
Aesthetic Perfection,"['ebm', 'industrial', 'industrial metal', 'darkwave', 'industrial rock', 'synthpop']",39,1Jgp0YCPHCJx5XD7nlfGVN
aeseaes,[],44,52KatchKjz0L2amwBDxxwO
IVE,['k-pop'],75,6RHTUrRF63xao58xh9FXYJ
AENJAY,"['hard techno', 'techno', 'tekno']",53,1sDPjXJ8bNlkrzbNLR18AQ
NewJeans,['k-pop'],79,6HvZYsbFfjnjFrWF950C9d
Aero Chord,"['dubstep', 'edm trap']",46,6lO3fSdhsdpeOcrbqAJsRU
Aetheria Solara,[],42,53Dh6mRLAQrQVAwNvXiifJ
Aegis,"['opm', 'pinoy rock', 'p-pop', 'pinoy alternative', 'kundiman']",50,65kpH75MFCBJhLy7qvVl6A
Aexcit,[],49,2HpYCHV3bvQ71jmohAnBL8
TWICE,['k-pop'],79,7n2Ycct7Beij7Dj7meI4X0
KISS OF LIFE,['k-pop'],73,4TEK9tIkcoxib4GxT3O4ky
Aerozen,"['trap', 'manele']",54,5RqcTk3xp9dW1BLsdQ0NE9
AE$,[],0,23t2icThc5CHtaghwPvOa1
Aests,['anime'],41,3zYU33YUxJPzsPrYmpMMiu
Arctic Monkeys,"['indie', 'garage rock']",87,7Ln80lUS6He07XvHI8qqHH
Aeroplane,"['nu disco', 'french house', 'indie dance', 'disco house']",46,31CtLHmSL7Oa7TPU9YyBEu
Red Velvet,['k-pop'],70,1z4g3DjTBBZKhvAroFlhOM
The Aether,"['jazz beats', 'lo-fi', 'lo-fi beats']",39,6X2vxtl96oIHCQqzAB898T
ILLIT,['k-pop'],73,36cgvBn0aadzOijnjjwqMN
Aether,['chillstep'],40,5UyjnQfu4OsLGiOi3sIoEN
ITZY,['k-pop'],68,2KC9Qb60EaY0kW4eH68vr3
Aegean Noise,[],39,0lGHTzI7DtmSGJq85VGjuH
AE,[],13,7yO9cfHtzBNULWdrKeyzuZ
AE,[],14,4UWcOm40hIpudoHIcpQQxg
Aeralie Brighton,[],40,6lM6rCctpuMEtpFTGaQbAM
AE,[],0,5YSGtRv6cFnmKcRuwFuwtZ
AE Ejiohuo,[],32,64B77l1IyWI9aVy67cYbe8
AE,[],0,5ilL7LM4YcFwutmiY5582C
Aerstame,['latin hip hop'],49,4L5QHhmkOdVWH91Kz0uLPg
AE,[],0,3yfOYxhVx3vjJ7mtIqtwNK
Aerial Ace,"['nerdcore', 'anime rap']",33,0MQEUY64e086Zu5Yp85gj2
AE,[],0,3h1z6xXZgd1VF60PUUbbX8
Project AER,"['lo-fi', 'lo-fi beats']",49,0iMWUBpWAGKAenBVePrZFP
AFI,"['punk', 'emo', 'skate punk', 'emo pop']",61,19I4tYiChJoxEO5EuviXpz
Cigarettes After Sex,['dream pop'],85,1QAJqy2dA3ihHBFIHRphZj
Afroman,[],59,4Icvbp9RDt5aY2TWDOVDsr
AFROJACK,"['edm', 'big room']",73,4D75GcNG95ebPtNvoNVXhz
After The Burial,"['djent', 'deathcore', 'metalcore', 'metal', 'progressive metal']",48,0uNj4RxFjG0iVPlZS753en
Sports,[],61,4AGNJdJiVltImYk1UTLE0K
Adele,['soft pop'],86,4dpARuHxo51G3z768sgnrY
aftrthght,['christian hip hop'],46,0m4Lfr9tvsHyYOUWhsbSKY
Afgan,"['indonesian pop', 'malay']",69,4cgBCGxtlfap2g6jveB7du
AFN Peso,[],43,1qPjeAlCU4Dr6aEv8o1w1t
Aflacko,[],50,4xGIy4hVil8DTVPnu5Auzs
After 7,"['new jack swing', 'quiet storm', 'smooth r&b']",48,4UPcJIhr5K5fPsm4itqT7E
Afra Hines,['musicals'],51,5GAvM5WeDGDmv2cPDPf8Sx
The Afters,"['christian', 'ccm', 'christian alternative rock', 'pop worship', 'christian pop', 'christian rock', 'worship']",54,1Q9nxD19emMUTTWtFi7jZc
Afrika Bambaataa,"['miami bass', 'funk melody', 'east coast hip hop']",45,7cg61q8kK8jlFi8TKKw70p
after noon,['lo-fi'],52,23ZyvK3IS7xXY1COP8KiRW
The Afghan Whigs,['grunge'],39,7IDrRpDz0cOuUVC32c8PKD
Afsana Khan,"['desi', 'punjabi pop']",64,4z0z82pXirH1TrygipQlOo
The Weeknd,[],97,1Xyo4u8uXC1ZmMpatF05PJ
Afourteen,"['dark trap', 'punk rap']",46,1yfmP9tNARpez6v4p31zqg
After,[],25,7KfMR05zRrWyhQimnYa8li
AF,['cantopop'],15,6ZirbXwke1KJn13rUJDJvE
AF,['christian hip hop'],9,6CygVJXs3ziiuKWNA4TkF9
AF,[],0,2HVTdQT7DXRMrxeIL7WwmY
AFRONOM,"['afro house', 'latin house']",56,05bZsDsrfQMnG83yks0Sg0
AF,[],6,3jYeJc0vnNYFWGp7ln3lIY
Afro B,"['afrobeats', 'afrobeat', 'afroswing', 'dancehall', 'afropop', 'soca', 'azonto']",51,7oMRcCu0OYSCtCyS3P37iC
AF,[],0,6Px6KiSnZVJi38e3Q4mqEx
Aftershine,"['lagu jawa', 'dangdut']",60,6daEl3JyMDgK52fKuqPelL
AF,[],0,5JjdlthliwLd0kjHWessDV
AF,[],1,2uEIbBu53Fs4zBOfsJ1U4B
Afro Medusa,"['latin house', 'funky house', 'disco house', 'afro house']",52,6D1DgoF2TYTbPQbRPEriaI
AF,"['turkish pop', 'anatolian rock']",7,5ekHVQ679B33595DxUtUA9
African Children's Choir,['afro house'],53,5nbhCNXWLMuNiXyPwTK0ud
AF,[],0,05XEJKp8DSOVTuYLPh9AzX
Afroto,"['egyptian hip hop', 'arabic rap', 'mahraganat', 'egyptian pop', 'khaleeji']",56,7yBuSjd5Z3w7acodk51evR
AF,['k-rap'],0,29FH8oigdjVAT7PwnW3zXu
Afaz Natural,"['latin hip hop', 'spanish-language reggae']",53,6wcHZUQ0rNcvv35os6xUQA
af,[],0,6zhGyBxLmfBnpugugpbyeG
Afro Bros,"['moombahton', 'dancehall']",54,3wtMPMvPtiFylbnNXF6CAj
AF,[],0,6KITWNvnUZRhddFfted3iP
Afra,"['turkish pop', 'turkish hip hop']",57,4TofTRvEUQsznrSPnYnHx9
AF,[],0,3NWPgnXc3tJxGECiT6kAaa
Afsal,"['malayalam pop', 'mollywood']",57,6GIkpxZTzuInWGBdfgu7eb
AF,[],0,0awA4smcaCghVMtke0OJ4Q
Ahmed Saad,"['mahraganat', 'egyptian pop', 'khaleeji', 'egyptian shaabi', 'arabic rap']",60,5D2ui1KD49TfyCDb35zf5V
AF,[],0,5o4Ir2EyZDMk01zv7MnPi1
after echoes,"['dark ambient', 'ambient']",47,69865ea1LcLXaHzlAv6XUW
AF,[],0,6eWzoH4Qb62gD0HKzhNXgu
The Amity Affliction,"['metalcore', 'post-hardcore', 'screamo', 'metal']",60,6kNKUYGn6VNGsRoXmyoDPK
Against Me!,"['folk punk', 'punk', 'skate punk']",51,29lz7gs8edwnnfuXW4FhMl
Young Thug,"['rap', 'melodic rap', 'trap']",84,50co4Is1HCEo8bhOyUWKpn
A. G. Cook,['hyperpop'],56,335TWGWGFan4vaacJzSiU8
Christina Aguilera,[],78,1l7ZsJRRS8wlW3WfJfPfNS
Agust D,"['k-pop', 'k-rap']",74,5RmQ8k4l3HZ8JoPb4mNsML
Agent Orange,"['punk', 'hardcore punk', 'skate punk']",45,1pBsvSnrhmgDZqisT13SFA
YoungBoy Never Broke Again,[],81,7wlFDEWiM5OoIAt8RSli8b
Agnostic Front,"['hardcore punk', 'hardcore', 'punk', 'skate punk']",41,3zDvanHxaETiHltPkKKYhT
Against The Current,['pop punk'],63,6yhD1KjhLxIETFF7vIRf8B
Agnes Obel,['chamber pop'],59,1rKrEdI6GKirxWHxIUPYms
Fred again..,"['stutter house', 'house']",76,4oLeXFyACqeem2VImYeBFe
Agalloch,"['black metal', 'neofolk', 'folk metal', 'doom metal']",40,3Meu28o8P5z9Zjm6NTGihT
Rage Against The Machine,"['rap metal', 'rap rock', 'alternative metal', 'nu metal']",72,2d0hyoQ5ynDBnkvAbJKORj
Rise Against,"['punk', 'hardcore punk']",71,6Wr3hh341P84m3EI8qdn9O
AG Club,['alternative hip hop'],44,22KyrgRdE2K6aB5wtZls3c
Agatha Lee Monn,[],56,6kHu5ICQRBZdsAHjAjQlmp
Agriculture,['black metal'],26,23Skjj6LyKEVkNIUFrLBUY
AgroPlay,"['agronejo', 'sertanejo', 'sertanejo universitário']",70,0uGWkZRPp1Urk77XBrPBsZ
Fetty Wap,[],76,6PXS4YHDkKvl1wkIl4V8DL
Against All Logic,[],40,0ngUeF0DGpYmPec80MqSi1
Antonio Aguilar,"['ranchera', 'mariachi', 'corrido', 'norteño', 'música mexicana', 'banda', 'bolero']",71,0PN0fbe41KbuzlRYnoajNm
Agua Marina,"['cumbia', 'chicha', 'cumbia norteña', 'huayno']",61,5ZAR5Usb11xw4KENbEE8uZ
Agatino Romero,[],63,124jbwgd8Hh6LW7jAqTa8r
Agoraphobic Nosebleed,"['grindcore', 'sludge metal']",27,5DVkkJqypmjmRLJL9UurmI
Age of Apocalypse,"['hardcore', 'hardcore punk']",20,0vMfvtQ4YXnMFh1az1izft
Aguamenti,[],54,51zDhvo49NXlaQpANXgOtb
Agar Agar,[],45,5TkylUv5ysSbNoawmn3PBj
